date,open,high,low,close,volume
2006-06-21,3.6186625336212295,3.666142180785488,3.615599456225561,3.650315761566162,4436800
2006-06-22,3.628873152793304,3.628873152793304,3.5870094105143013,3.611514806747437,2185600
2006-06-23,3.5900720508055124,3.644188484615873,3.5803717883277297,3.611004114151001,713600
2006-06-26,3.6120250565461576,3.633467373294341,3.599772359762368,3.631935834884644,603200
2006-06-27,3.643677406414768,3.643677406414768,3.5676076412200928,3.5676076412200928,1835200
2006-06-28,3.578328274650308,3.6094708420011767,3.558417503984153,3.599260330200196,681600
2006-06-29,3.6503143942744334,3.751910448074341,3.64469849481506,3.751910448074341,1068800
2006-06-30,3.778459254450846,3.783053869853553,3.7498691082000737,3.749869108200073,1449600
2006-07-03,3.770291402513891,3.800923347473145,3.765696786047844,3.800923347473145,454400
2006-07-05,3.760080063895241,3.7662062178470905,3.72127940100654,3.750379800796509,1184000
2006-07-06,3.76263216893111,3.788669489466577,3.75037947259344,3.7621219158172607,1865600
2006-07-07,3.734552484048881,3.766715953066222,3.700346834370833,3.718725681304932,1137600
2006-07-10,3.749869365981005,3.7641646348422166,3.7115793436346793,3.725363969802856,1152000
2006-07-11,3.709026999555743,3.7595697212226615,3.679415954738252,3.757016897201538,3080000
2006-07-12,3.752932359371449,3.754463897751168,3.6676729576738047,3.6829891204833984,2051200
2006-07-13,3.633467946214467,3.6513365463221152,3.569140985826932,3.571693420410156,2780800
2006-07-14,3.5604609973412984,3.5711821555381027,3.4971549439146528,3.539529323577881,2417600
2006-07-17,3.544633449814501,3.5635233260393773,3.51246998549157,3.535954475402832,910400
2006-07-18,3.560972712020338,3.606920824915413,3.477245212747677,3.541572570800781,3278400
2006-07-19,3.573735632547518,3.68605288233936,3.573224989823969,3.663079023361206,3504000
2006-07-20,3.696264086194071,3.701369345320839,3.612025947330336,3.620194673538208,1844800
2006-07-21,3.5890515932010723,3.604878011170645,3.548719389482444,3.563014268875122,2054400
2006-07-24,3.5977285987479872,3.682987575166256,3.5977285987479872,3.675840139389038,2134400
2006-07-25,3.66869317269773,3.7416994670477792,3.651845476423237,3.722299337387085,2742400
2006-07-26,3.698304317362225,3.754462917152782,3.682988158552938,3.72944688796997,2211200
2006-07-27,3.757017593738051,3.767739145009496,3.678905994087701,3.693711519241333,2864000
2006-07-28,3.712089502916717,3.7912223612631255,3.709537068796439,3.7779483795166016,1806400
2006-07-31,3.77794838094537,3.77794838094537,3.7534425984429975,3.767737865447998,908800
2006-08-01,3.726895919290936,3.754975427910028,3.698816410671844,3.7340433597564697,836800
2006-08-02,3.771312692849052,3.806029001048584,3.753443701219372,3.7626333236694336,1172800
2006-08-03,3.7268942557364406,3.8096008164284094,3.7268942557364406,3.7815213203430176,1441600
2006-08-04,3.86473909586985,3.8672919196060698,3.747316604621844,3.780501365661621,2753600
2006-08-07,3.757526748786561,3.775395344653542,3.742210976403225,3.759568929672241,785600
2006-08-08,3.788159323558184,3.79530676311346,3.7126005655434886,3.7289376258850098,923200
2006-08-09,3.763144773184267,3.801434810017041,3.6962649668250687,3.7003493309021,1115200
2006-08-10,3.691157761759184,3.739658293725157,3.676352241910178,3.73302149772644,2590400
2006-08-11,3.726895198872964,3.726895198872964,3.680947097971917,3.705963134765625,1950400
2006-08-14,3.751910435405693,3.81674840548822,3.708004524965818,3.718725681304932,1545600
2006-08-15,3.7764172218003447,3.818791605431468,3.7667169584493982,3.810112237930298,1350400
2006-08-16,3.8366605231980513,3.880566449008656,3.832576160446769,3.873929262161255,1792000
2006-08-17,3.872907073590097,3.910175800114347,3.863717455220011,3.8897547721862793,3046400
2006-08-18,3.902519588947815,3.915793184232218,3.864229562806667,3.905582666397095,1331200
2006-08-21,3.880054586644932,3.897412538622235,3.874949329563734,3.887202024459839,649600
2006-08-22,3.883116774502703,3.913749088993256,3.86729036432036,3.8938379287719727,1113600
2006-08-23,3.898945215068638,3.910687269659762,3.837170696658617,3.858613014221192,996800
2006-08-24,3.885161052513821,3.885161052513821,3.848402566882715,3.872908353805542,1408000
2006-08-25,3.866781444658428,3.897413383290481,3.8586131094594553,3.8800554275512695,635200
2006-08-28,3.875972250187805,3.92702562668503,3.86525108786415,3.913241386413574,1110400
2006-08-29,3.910176935405013,3.932640540055396,3.8734188407583696,3.931619644165039,947200
2006-08-30,3.946425116273318,3.946425116273318,3.87086596763964,3.931108951568604,470400
2006-08-31,3.918345724188819,3.9362143238571576,3.915792900162088,3.9280459880828857,444800
2006-09-01,3.9438719948768095,3.971951498215638,3.932129550887968,3.967867136001587,905600
2006-09-05,3.965313709920364,3.9882879517550087,3.952550372069836,3.975013971328736,984000
2006-09-06,3.9530623143923695,3.9530623143923695,3.8953721485619694,3.905582666397095,902400
